rank,drug,file,safety_drug,trial_used
1,Trametinib,result_trial_data_NCT04809974_CF_Trametinib.json,0.682068,trial_2
2,Ceritinib,result_trial_data_NCT04809974_CF_Ceritinib.json,0.613098,trial_2
3,Lenvatinib,result_trial_data_NCT04809974_CF_Lenvatinib.json,0.597835,trial_2
4,Pomalidomide,result_trial_data_NCT04809974_CF_Pomalidomide.json,0.587253,trial_2
5,Selumetinib,result_trial_data_NCT04809974_CF_Selumetinib.json,0.567685,trial_2
6,Regorafenib,result_trial_data_NCT04809974_CF_Regorafenib.json,0.544711,trial_2
7,Idelalisib,result_trial_data_NCT04809974_CF_Idelalisib.json,0.543565,trial_2
8,Leniolisib,result_trial_data_NCT04809974_CF_Leniolisib.json,0.534234,trial_2
9,Tolvaptan,result_trial_data_NCT04809974_CF_Tolvaptan.json,0.532216,trial_2
10,Ruxolitinib,result_trial_data_NCT04809974_CF_Ruxolitinib.json,0.528993,trial_2
11,Carfilzomib,result_trial_data_NCT04809974_CF_Carfilzomib.json,0.524947,trial_2
12,Dabrafenib,result_trial_data_NCT04809974_CF_Dabrafenib.json,0.522556,trial_2
13,Pentostatin,result_trial_data_NCT04809974_CF_Pentostatin.json,0.519701,trial_2
14,Dasatinib,result_trial_data_NCT04809974_CF_Dasatinib.json,0.517818,trial_2
15,Ribociclib,result_trial_data_NCT04809974_CF_Ribociclib.json,0.513849,trial_2
16,Anagrelide,result_trial_data_NCT04809974_CF_Anagrelide.json,0.512188,trial_2
17,Cobimetinib,result_trial_data_NCT04809974_CF_Cobimetinib.json,0.509022,trial_2
18,Abiraterone,result_trial_data_NCT04809974_CF_Abiraterone.json,0.508875,trial_2
19,Nilotinib,result_trial_data_NCT04809974_CF_Nilotinib.json,0.497076,trial_2
20,Ixazomib,result_trial_data_NCT04809974_CF_Ixazomib.json,0.496940,trial_2
21,Alectinib,result_trial_data_NCT04809974_CF_Alectinib.json,0.484971,trial_2
22,Ledipasvir,result_trial_data_NCT04809974_CF_Ledipasvir.json,0.483771,trial_2
