drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real
abacavir,Abacavir,1.3679072362021525,3.3535354593768667,1.3679072362021525,100,0.206863,0.523811,0.206863,0.523811,1.3679072362021525,0.2030639453956967,0.5892586106246387,0.2958214718046553,0.3760933167690652,0.206863,0.523811,3.3535354593768667,unweighted_total_prob,0.3760933167690652,1070.0,251.0,1356.0,965.0,-0.34172485899999994,0.005071150999999996,-16.16961721962313
abemaciclib,Abemaciclib,2.8993787152227,7.473851386457677,2.8993787152227,100,0.415124,0.519555,0.415124,0.519555,2.8993787152227,0.55232521088732,0.3408056042031533,0.0940934065006759,0.3760710073363246,0.415124,0.519555,7.473851386457677,unweighted_total_prob,0.3760710073363246,101.0,1539.0,329.0,964.0,-0.13346385899999996,0.0008151509999999584,-12.04930129254232
abiraterone,Abiraterone,2.8202226739842424,7.011189099401231,2.8202226739842424,100,0.508875,0.52398,0.508875,0.52398,2.8202226739842424,0.7095490449278035,0.5991243432574451,0.0991506599987386,0.5432994872738471,0.508875,0.52398,7.011189099401231,unweighted_total_prob,0.5432994872738471,123.0,1608.0,1382.0,1603.0,-0.03971285899999999,0.005240150999999971,-12.511963579598767
acalabrutinib,Acalabrutinib,3.9424864253960537,10.283037591725584,3.9424864253960537,100,0.381476,0.521832,0.381476,0.521832,3.9424864253960537,0.4958962920726492,0.4737302977232921,0.0464203490013998,0.3971347057186565,0.381476,0.521832,10.283037591725584,unweighted_total_prob,0.3971347057186565,30.0,1466.0,947.0,1152.0,-0.16711185899999997,0.003092150999999932,-9.240115087274415
acamprosate,Acamprosate,1.2152740019373574,3.000013526529069,1.2152740019373574,100,0.164139,0.519688,0.164139,0.519688,1.2152740019373574,0.1314142447466837,0.3485697606538276,0.3437878862948327,0.2607511794191711,0.164139,0.519688,3.000013526529069,unweighted_total_prob,0.2607511794191711,1230.0,70.0,361.0,67.0,-0.3844488589999999,0.0009481510000000082,-16.52313915247093
acarbose,Acarbose,0.9949412381974964,2.4975333111360625,0.9949412381974964,100,0.176387,0.518262,0.176387,0.518262,0.9949412381974964,0.1519545858558754,0.2653239929947476,0.4389855841656639,0.254708548373382,0.176387,0.518262,2.4975333111360625,unweighted_total_prob,0.254708548373382,1447.0,111.0,128.0,54.0,-0.372200859,-0.00047784900000003017,-17.025619367863936
acebutolol,Acebutolol,1.254520369030068,3.1908583221957048,1.254520369030068,100,0.252204,0.521919,0.252204,0.521919,1.254520369030068,0.2791024501500947,0.4788091068301257,0.3303396125550598,0.3692325453031001,0.252204,0.521919,3.1908583221957048,unweighted_total_prob,0.3692325453031001,1144.0,545.0,965.0,895.0,-0.29638385899999997,0.003179150999999991,-16.332294356804294
aceclofenac,Aceclofenac,1.6123421905096602,4.023314394056793,1.6123421905096602,100,0.289011,0.520839,0.289011,0.520839,1.6123421905096602,0.3408291267671771,0.4157618213660293,0.237922820374826,0.3502209433282477,0.289011,0.520839,4.023314394056793,unweighted_total_prob,0.3502209433282477,777.0,870.0,664.0,685.0,-0.25957685899999994,0.0020991510000000213,-15.499838284943205
acemetacin,Acemetacin,2.047811385616658,5.02015090733766,2.047811385616658,100,0.308875,0.519277,0.308875,0.519277,2.047811385616658,0.3741417766523001,0.3245767659077651,0.1690212261839144,0.313291662260809,0.308875,0.519277,5.02015090733766,unweighted_total_prob,0.313291662260809,421.0,1029.0,279.0,308.0,-0.23971285899999994,0.000537150999999958,-14.503001771662339
acenocoumarol,Acenocoumarol,1.7526517052436226,4.072092805057759,1.7526517052436226,100,0.261018,0.523119,0.261018,0.523119,1.7526517052436226,0.2938838484629961,0.5488616462346779,0.2119838168668132,0.3794949612524322,0.261018,0.523119,4.072092805057759,unweighted_total_prob,0.3794949612524322,756.0,615.0,1222.0,998.0,-0.287569859,0.00437915099999997,-15.45105987394224
