drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
pazopanib,Pazopanib,7.403462423942981,17.732657492160794,7.403462423942981,100,0.37985,0.023717,0.37985,0.023717,7.403462423942981,0.3154525497618568,0.0236586308563616,0.0550703460470933,0.146658541456706,0.37985,0.023717,17.732657492160794,unweighted_total_prob,0.146658541456706,67.0,250.0,10.0,1.0,-0.22845628871917723,-0.4553536634521484,6.9306553937494755,True,True,True,3
riociguat,Riociguat,7.87933205841109,17.131395585834976,7.87933205841109,100,0.379233,0.154066,0.379233,0.154066,7.87933205841109,0.3142560156383325,0.2318459577648799,0.0473445347051509,0.2279096963023151,0.379233,0.154066,17.131395585834976,unweighted_total_prob,0.2279096963023151,86.0,249.0,262.0,48.0,-0.22907328871917726,-0.3250046634521484,6.329393487423658,True,True,True,3
selexipag,Selexipag,7.935827756952492,16.750056542456147,7.935827756952492,100,0.342307,0.112,0.342307,0.112,7.935827756952492,0.2426462602975626,0.1646601098202564,0.0464888492854828,0.1722203179042242,0.342307,0.112,16.750056542456147,unweighted_total_prob,0.1722203179042242,94.0,119.0,160.0,6.0,-0.2659992887191773,-0.3670706634521484,5.948054444044828,True,True,True,3
azacitidine,Azacitidine,6.764865323156116,15.41502101719379,6.764865323156116,100,0.370106,0.046894,0.370106,0.046894,6.764865323156116,0.2965562312859736,0.0606758513625314,0.0671460733358057,0.1563220477265631,0.370106,0.046894,15.41502101719379,unweighted_total_prob,0.1563220477265631,145.0,217.0,47.0,2.0,-0.23820028871917726,-0.4321766634521484,4.613018918782473,True,True,True,3
decitabine,Decitabine,6.617803243175147,15.065217219293114,6.617803243175147,100,0.386727,0.045329,0.386727,0.045329,6.617803243175147,0.328788960081915,0.0581763065512031,0.070257131164412,0.1688375328861297,0.386727,0.045329,15.065217219293114,unweighted_total_prob,0.1688375328861297,159.0,287.0,45.0,5.0,-0.22157928871917726,-0.4337416634521484,4.263215120881796,True,True,True,3
cobimetinib,Cobimetinib,11.828966634348031,30.828822791576385,11.828966634348031,100,0.590959,0.038696,0.590959,0.038696,11.828966634348031,0.7248514513551672,0.0475823891495797,0.0072115840071062,0.3104158530033201,0.590959,0.038696,30.828822791576385,unweighted_total_prob,0.3104158530033201,1.0,1576.0,37.0,282.0,-0.017347288719177234,-0.4403746634521484,20.026820693165067,True,False,True,2
carfilzomib,Carfilzomib,12.99991457350552,30.109437555074688,12.99991457350552,100,0.626776,0.04474,0.626776,0.04474,12.99991457350552,0.7943105481173496,0.0572355832963326,0.0,0.3406184525654728,0.626776,0.04474,30.109437555074688,unweighted_total_prob,0.3406184525654728,2.0,1605.0,43.0,457.0,0.018469711280822754,-0.4343306634521484,19.30743545666337,True,False,True,2
selumetinib,Selumetinib,12.028375454246996,28.922547638416287,12.028375454246996,100,0.703804,0.029458,0.703804,0.029458,12.028375454246996,0.94368920365515,0.0328278875731895,0.0058842782858237,0.3917836921485005,0.703804,0.029458,28.922547638416287,unweighted_total_prob,0.3917836921485005,4.0,1624.0,23.0,801.0,0.09549771128082274,-0.4496126634521484,18.12054554000497,True,False,True,2
lenvatinib,Lenvatinib,11.597041785717009,28.84546470642089,11.597041785717009,100,0.664937,0.029944,0.664937,0.029944,11.597041785717009,0.8683153109825156,0.0336041040449502,0.0088127399757426,0.3625303140061349,0.664937,0.029944,28.84546470642089,unweighted_total_prob,0.3625303140061349,5.0,1620.0,26.0,605.0,0.056630711280822754,-0.44912666345214836,18.043462608009573,True,False,True,2
ixazomib,Ixazomib,11.274278614670036,27.77513511478901,11.274278614670036,100,0.643714,0.037911,0.643714,0.037911,11.274278614670036,0.8271580278325086,0.0463286238608304,0.0111506531278529,0.3516247913029062,0.643714,0.037911,27.77513511478901,unweighted_total_prob,0.3516247913029062,6.0,1615.0,36.0,527.0,0.03540771128082276,-0.4411596634521484,16.97313301637769,True,False,True,2
pomalidomide,Pomalidomide,11.60298269987106,27.36438529193401,11.60298269987106,100,0.656593,0.053162,0.656593,0.053162,11.60298269987106,0.8521339807933972,0.0706868078337171,0.0087709264493564,0.370882500740717,0.656593,0.053162,27.36438529193401,unweighted_total_prob,0.370882500740717,7.0,1618.0,56.0,663.0,0.048286711280822736,-0.4259086634521484,16.56238319352269,True,False,True,2
momelotinib,Momelotinib,10.4392371205613,27.068911150097843,10.4392371205613,100,0.554958,0.097675,0.554958,0.097675,10.4392371205613,0.6550355275610097,0.1417808897421236,0.0178700596510774,0.3223005788514688,0.554958,0.097675,27.068911150097843,unweighted_total_prob,0.3223005788514688,8.0,1524.0,124.0,348.0,-0.053348288719177295,-0.38139566345214837,16.266909051686525,True,False,True,2
binimetinib,Binimetinib,10.41676854342222,26.86544907093048,10.41676854342222,100,0.510286,0.044833,0.510286,0.044833,10.41676854342222,0.5684041298850397,0.0573841185471016,0.0180657431384706,0.2539284480005507,0.510286,0.044833,26.86544907093048,unweighted_total_prob,0.2539284480005507,9.0,1319.0,44.0,99.0,-0.09802028871917723,-0.43423766345214837,16.063446972519163,True,False,True,2
