trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.19484956562519073
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.1818566769361496
trial_1	active	68	KG00099901	nauseas	0.18140162527561188
trial_1	active	77	KG00098450	Constipation NOS	0.17675518989562988
trial_1	active	9	KG00098432	Confusion NOS	0.1725529432296753
trial_1	active	211	KG00100341	Pruritus NOS	0.16053807735443115
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.15792521834373474
trial_1	active	49	KG00099902	nausea with vomiting	0.15195827186107635
trial_1	active	114	KG00098933	fevers	0.14754681289196014
trial_1	active	151	KG00098274	Infarction, Cerebral	0.14660213887691498
trial_1	active	221	KG00101207	peripheral oedema	0.1455039083957672
trial_1	active	79	KG00100317	Insomnia, Primary	0.1391570270061493
trial_1	active	78	KG00099326	Hypertensive diseases	0.13738080859184265
trial_1	active	102	KG00097916	anxieties	0.12614122033119202
trial_1	active	180	KG00099363	Hypotension NOS	0.12167180329561234
trial_1	active	20	KG00098540	dehydration	0.10200302302837372
trial_1	active	11	KG00097993	Asthma NOS	0.10153701156377792
trial_1	active	30	KG00099500	Acute Kidney Failure	0.09987828880548477
trial_1	active	14	KG00097852	Anemia NOS	0.09672608226537704
trial_1	active	177	KG00099299	hyperglycaemia	0.09573853015899658
trial_1	active	147	KG00098000	atelectases	0.08900032937526703
trial_1	active	21	KG00098675	dyspnoea	0.08837040513753891
trial_1	active	37	KG00097696	Cramps, Abdominal	0.0881885290145874
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.08814634382724762
trial_1	active	69	KG00100082	Palpitations NOS	0.08716477453708649
trial_1	active	17	KG00097991	Asthenia NOS	0.08326417952775955
trial_1	active	126	KG00100076	Pain NOS	0.08105451613664627
trial_1	active	86	KG00098565	Depression, Mental	0.0804256796836853
trial_1	active	123	KG00099351	hypokalaemia	0.07900471240282059
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.07861148566007614
trial_1	active	441	KG00098262	cellulitis nos	0.07705003768205643
trial_1	active	269	KG00100399	pyaemia	0.07700006663799286
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.07662086188793182
trial_1	active	276	KG00099127	Arrest, Cardiac	0.07640007883310318
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.07454730570316315
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.07452059537172318
trial_1	active	101	KG00097901	Anorexia NOS	0.07190226018428802
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.06678932160139084
trial_1	active	27	KG00099303	hyperkalaemia	0.06579001992940903
trial_1	active	85	KG00098474	coughs	0.06454693526029587
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.06310930848121643
trial_1	active	46	KG00099121	Headache NOS	0.06223740056157112
trial_1	active	228	KG00114657	Weight below normal	0.06182345375418663
trial_1	active	186	KG00101431	creatinine increased	0.05953270569443703
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.057789262384176254
trial_1	active	29	KG00099354	hyponatraemia	0.05685240775346756
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.05614127591252327
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.05562160909175873
trial_1	active	130	KG00100683	Stomatitis NOS	0.05428624153137207
trial_1	active	5	KG00099169	haematuria	0.052510086447000504
trial_1	active	104	KG00097963	arthralgias	0.052135907113552094
trial_1	active	661	KG00101056	Laceration(s)	0.05176803842186928
