trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	87	KG00098599	diarrhoea	0.30802032351493835
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.2607681155204773
trial_1	active	151	KG00098274	Infarction, Cerebral	0.2436990886926651
trial_1	active	30	KG00099500	Acute Kidney Failure	0.21717782318592072
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.2162453830242157
trial_1	active	9	KG00098432	Confusion NOS	0.19096478819847107
trial_1	active	78	KG00099326	Hypertensive diseases	0.18540143966674805
trial_1	active	269	KG00100399	pyaemia	0.1783507913351059
trial_1	active	114	KG00098933	fevers	0.1745574176311493
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.1742420345544815
trial_1	active	11	KG00097993	Asthma NOS	0.17062562704086304
trial_1	active	180	KG00099363	Hypotension NOS	0.16091598570346832
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.1472799926996231
trial_1	active	276	KG00099127	Arrest, Cardiac	0.14551764726638794
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.14340680837631226
trial_1	active	221	KG00101207	peripheral oedema	0.13257451355457306
trial_1	active	147	KG00098000	atelectases	0.12925122678279877
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.1270563006401062
trial_1	active	49	KG00099902	nausea with vomiting	0.1269720196723938
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.125544473528862
trial_1	active	20	KG00098540	dehydration	0.1250213384628296
trial_1	active	37	KG00097696	Cramps, Abdominal	0.122658371925354
trial_1	active	123	KG00099351	hypokalaemia	0.12256062775850296
trial_1	active	211	KG00100341	Pruritus NOS	0.1214146763086319
trial_1	active	21	KG00098675	dyspnoea	0.1208009421825409
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.12015533447265625
trial_1	active	102	KG00097916	anxieties	0.11784994602203369
trial_1	active	77	KG00098450	Constipation NOS	0.11685715615749359
trial_1	active	14	KG00097852	Anemia NOS	0.11631827801465988
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.1158471629023552
trial_1	active	441	KG00098262	cellulitis nos	0.10908439010381699
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.10874780267477036
trial_1	active	85	KG00098474	coughs	0.10654173791408539
trial_1	active	29	KG00099354	hyponatraemia	0.10610136389732361
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.10234517604112625
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.09768085181713104
trial_1	active	86	KG00098565	Depression, Mental	0.09598733484745026
trial_1	active	713	KG00107657	distressed respiratory	0.09095049649477005
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.08985709398984909
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.0892469510436058
trial_1	active	228	KG00114657	Weight below normal	0.08885263651609421
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.08867897838354111
trial_1	active	177	KG00099299	hyperglycaemia	0.0876954197883606
trial_1	active	68	KG00099901	nauseas	0.08532152324914932
trial_1	active	130	KG00100683	Stomatitis NOS	0.0849674716591835
trial_1	active	2	KG00100772	thrombocytopaenia	0.08487028628587723
trial_1	active	488	KG00098167	Bronchospasm NOS	0.08426013588905334
trial_1	active	31	KG00099872	Infarction, Myocardial	0.08330689370632172
trial_1	active	27	KG00099303	hyperkalaemia	0.08210227638483047
