trial_id	trial_label	ae_code	ae_kg_id	ae_label	probability
trial_1	active	76	KG00100450	Respiratory insufficiency, NOS	0.17431944608688354
trial_1	active	30	KG00099500	Acute Kidney Failure	0.14174026250839233
trial_1	active	173	KG00098172	Bronchopneumonia NOS	0.1330915242433548
trial_1	active	9	KG00098432	Confusion NOS	0.13277755677700043
trial_1	active	211	KG00100341	Pruritus NOS	0.1258600652217865
trial_1	active	87	KG00098599	diarrhoea	0.12404365837574005
trial_1	active	151	KG00098274	Infarction, Cerebral	0.12172021716833115
trial_1	active	78	KG00099326	Hypertensive diseases	0.11352202296257019
trial_1	active	180	KG00099363	Hypotension NOS	0.11213591694831848
trial_1	active	49	KG00099902	nausea with vomiting	0.11178429424762726
trial_1	active	221	KG00101207	peripheral oedema	0.10550771653652191
trial_1	active	269	KG00100399	pyaemia	0.0922006145119667
trial_1	active	61	KG00099501	Chronic Kidney Failure	0.08941450715065002
trial_1	active	114	KG00098933	fevers	0.08832132071256638
trial_1	active	68	KG00099901	nauseas	0.08759555965662003
trial_1	active	77	KG00098450	Constipation NOS	0.08716923743486404
trial_1	active	147	KG00098000	atelectases	0.0860869288444519
trial_1	active	276	KG00099127	Arrest, Cardiac	0.08358144015073776
trial_1	active	20	KG00098540	dehydration	0.07987548410892487
trial_1	active	102	KG00097916	anxieties	0.07722236216068268
trial_1	active	394	KG00100243	Pneumonia, Aspiration	0.0768459290266037
trial_1	active	123	KG00099351	hypokalaemia	0.07598873227834702
trial_1	active	11	KG00097993	Asthma NOS	0.0714869499206543
trial_1	active	396	KG00100373	Embolism, Pulmonary	0.06940281391143799
trial_1	active	131	KG00100948	Urinary tract infection (& [NOS])	0.06822606176137924
trial_1	active	441	KG00098262	cellulitis nos	0.06516913324594498
trial_1	active	21	KG00098675	dyspnoea	0.06465086340904236
trial_1	active	14	KG00097852	Anemia NOS	0.0641000047326088
trial_1	active	64	KG00097734	Acrodermatitis, NOS	0.06395792961120605
trial_1	active	713	KG00107657	distressed respiratory	0.06362111866474152
trial_1	active	494	KG00099838	Organ Failure, Multiple	0.06259392201900482
trial_1	active	199	KG00098371	Rhinitis (chronic) NOS	0.06181918457150459
trial_1	active	79	KG00100317	Insomnia, Primary	0.06179404631257057
trial_1	active	253	KG00100232	Pleural effusion NOS (disorder)	0.059515029191970825
trial_1	active	29	KG00099354	hyponatraemia	0.05840938910841942
trial_1	active	27	KG00099303	hyperkalaemia	0.058212440460920334
trial_1	active	177	KG00099299	hyperglycaemia	0.05789821222424507
trial_1	active	31	KG00099872	Infarction, Myocardial	0.056065939366817474
trial_1	active	268	KG00099557	Heart Failure, Left-Sided	0.053872451186180115
trial_1	active	75	KG00100195	Dolens, Phlegmasia Alba	0.05027393251657486
trial_1	active	86	KG00098565	Depression, Mental	0.0492376908659935
trial_1	active	188	KG00101579	Aspartate aminotransferase increase	0.048760801553726196
trial_1	active	66	KG00098642	drowsiness	0.0481661893427372
trial_1	active	466	KG00101205	fall	0.04796898737549782
trial_1	active	37	KG00097696	Cramps, Abdominal	0.04761550948023796
trial_1	active	5	KG00099169	haematuria	0.04683598503470421
trial_1	active	361	KG00098004	Fibrillation, Atrial	0.04631148278713226
trial_1	active	186	KG00101431	creatinine increased	0.04585306718945503
trial_1	active	69	KG00100082	Palpitations NOS	0.04497656226158142
trial_1	active	271	KG00103813	reflex bradycardia	0.0424625538289547
trial_1	active	17	KG00097991	Asthenia NOS	0.04219764471054077
trial_1	active	46	KG00099121	Headache NOS	0.040992993861436844
trial_1	active	2	KG00100772	thrombocytopaenia	0.040750592947006226
trial_1	active	237	KG00099189	haemoptysis	0.03981209173798561
trial_1	active	130	KG00100683	Stomatitis NOS	0.03971932455897331
trial_1	active	126	KG00100076	Pain NOS	0.03888457641005516
trial_1	active	35	KG00101507	hypomagnesaemia	0.038424327969551086
trial_1	active	380	KG00099133	Heart failures	0.038291241973638535
trial_1	active	398	KG00100580	Shock, Septic	0.038167402148246765
trial_1	active	317	KG00098586	DIABETES MELLITUS NOS	0.037918101996183395
trial_1	active	661	KG00101056	Laceration(s)	0.037082720547914505
trial_1	active	228	KG00114657	Weight below normal	0.03687222674489021
trial_1	active	883	KG00107760	Neonatal cardiorespiratory arrest	0.036789119243621826
trial_1	active	96	KG00101679	Unattended death NOS	0.03559882938861847
trial_1	active	189	KG00101580	Alanine aminotransferase increase	0.03507376089692116
trial_1	active	397	KG00100456	Infections, Respiratory Tract	0.03441202640533447
trial_1	active	85	KG00098474	coughs	0.03429173678159714
trial_1	active	92	KG00100926	Infections, Upper Respiratory	0.03407822549343109
trial_1	active	422	KG00101429	Creatine phosphokinase increased	0.033524803817272186
trial_1	active	25	KG00099134	congestive failures heart	0.0332135371863842
trial_1	active	561	KG00104180	Diarrhoea, Clostridium difficile	0.032979901880025864
trial_1	active	15	KG00097882	Angina pectoris NOS	0.032720897346735
trial_1	active	28	KG00099347	hypoglycaemia	0.03251218423247337
trial_1	active	327	KG00098362	Chronic Bronchitis	0.03247354179620743
trial_1	active	747	KG00101527	Liver function tests abnormal (finding)	0.03233278915286064
trial_1	active	101	KG00097901	Anorexia NOS	0.03231104090809822
trial_1	active	286	KG00101110	Retention, Urinary	0.03203658014535904
trial_1	active	98	KG00097718	Incised wound, NOS	0.03128833696246147
trial_1	active	104	KG00097963	arthralgias	0.03101813793182373
trial_1	active	200	KG00098539	Disorders, Deglutition	0.03014403022825718
trial_1	active	138	KG00098796	epidemic vomiting syndrome	0.030102305114269257
trial_1	active	282	KG00099309	hypernatraemia	0.02953345887362957
trial_1	active	356	KG00112623	Infectious Lung Disorders	0.029445737600326538
trial_1	active	94	KG00103829	abdominal discomfort	0.029352786019444466
trial_1	active	191	KG00104055	Biliverdin increased	0.029269922524690628
trial_1	active	488	KG00098167	Bronchospasm NOS	0.029252810403704643
trial_1	active	18	KG00098307	Pain, Chest	0.028412191197276115
trial_1	active	179	KG00099342	hypocalcaemia	0.02836015820503235
trial_1	active	425	KG00098146	Chronic Brain Damage	0.02784322388470173
trial_1	active	239	KG00100128	pareses	0.02689194492995739
trial_1	active	364	KG00098196	Calculus of gallbladder without mention of cholecystitis	0.026285942643880844
trial_1	active	457	KG00099853	Pain, Musculoskeletal	0.02619275450706482
trial_1	active	341	KG00101472	Gamma-glutamyltransferase increased	0.02568754553794861
trial_1	active	352	KG00107658	NON-CARDIAC CHEST PAIN	0.02549099363386631
trial_1	active	627	KG00099603	Leucocytosis NOS	0.025422953069210052
trial_1	active	4	KG00098817	epistaxis	0.02496963180601597
trial_1	active	618	KG00099164	haematoma	0.024941233918070793
trial_1	active	366	KG00098275	Attack, Transient Ischemic	0.024823589250445366
trial_1	active	234	KG00098669	dysgeusias	0.024758465588092804
trial_1	active	40	KG00098092	Blepharoconjunctivitis NOS	0.02455282025039196
trial_2	control	76	KG00100450	Respiratory insufficiency, NOS	0.34702080488204956
trial_2	control	9	KG00098432	Confusion NOS	0.344514399766922
trial_2	control	30	KG00099500	Acute Kidney Failure	0.31673663854599
trial_2	control	87	KG00098599	diarrhoea	0.29394468665122986
trial_2	control	173	KG00098172	Bronchopneumonia NOS	0.24869385361671448
trial_2	control	49	KG00099902	nausea with vomiting	0.24029676616191864
trial_2	control	68	KG00099901	nauseas	0.23001082241535187
trial_2	control	151	KG00098274	Infarction, Cerebral	0.2191462516784668
trial_2	control	77	KG00098450	Constipation NOS	0.20766958594322205
trial_2	control	269	KG00100399	pyaemia	0.2004692256450653
trial_2	control	114	KG00098933	fevers	0.19118337333202362
trial_2	control	211	KG00100341	Pruritus NOS	0.19012221693992615
trial_2	control	78	KG00099326	Hypertensive diseases	0.1807771921157837
trial_2	control	180	KG00099363	Hypotension NOS	0.17871955037117004
trial_2	control	123	KG00099351	hypokalaemia	0.16385391354560852
trial_2	control	37	KG00097696	Cramps, Abdominal	0.1567612737417221
trial_2	control	276	KG00099127	Arrest, Cardiac	0.15082934498786926
trial_2	control	147	KG00098000	atelectases	0.15049727261066437
trial_2	control	21	KG00098675	dyspnoea	0.14960311353206635
trial_2	control	14	KG00097852	Anemia NOS	0.14879195392131805
trial_2	control	221	KG00101207	peripheral oedema	0.13880689442157745
trial_2	control	253	KG00100232	Pleural effusion NOS (disorder)	0.13678421080112457
trial_2	control	188	KG00101579	Aspartate aminotransferase increase	0.1366812288761139
trial_2	control	61	KG00099501	Chronic Kidney Failure	0.13559916615486145
trial_2	control	64	KG00097734	Acrodermatitis, NOS	0.13556350767612457
trial_2	control	20	KG00098540	dehydration	0.135031595826149
trial_2	control	11	KG00097993	Asthma NOS	0.12974649667739868
trial_2	control	494	KG00099838	Organ Failure, Multiple	0.1287405639886856
trial_2	control	396	KG00100373	Embolism, Pulmonary	0.12624897062778473
trial_2	control	29	KG00099354	hyponatraemia	0.12441596388816833
trial_2	control	101	KG00097901	Anorexia NOS	0.1209268718957901
trial_2	control	79	KG00100317	Insomnia, Primary	0.12021980434656143
trial_2	control	17	KG00097991	Asthenia NOS	0.11931263655424118
trial_2	control	69	KG00100082	Palpitations NOS	0.11469438672065735
trial_2	control	131	KG00100948	Urinary tract infection (& [NOS])	0.11283913999795914
trial_2	control	102	KG00097916	anxieties	0.11273739486932755
trial_2	control	177	KG00099299	hyperglycaemia	0.1124439686536789
trial_2	control	2	KG00100772	thrombocytopaenia	0.11206149309873581
trial_2	control	228	KG00114657	Weight below normal	0.1106056272983551
trial_2	control	199	KG00098371	Rhinitis (chronic) NOS	0.10840196162462234
trial_2	control	130	KG00100683	Stomatitis NOS	0.10835694521665573
